LOCATION_01,TYPE_01,LOCATION_02,TYPE_02,TRANSIT_TIME,TRANSIT_TYPE
BOSTON,CITY,OKEMO,RESORT,3:00,CAR
NYC,CITY,OKEMO,RESORT,4:20,CAR
BOSTON,CITY,STOWE,RESORT,3:21,CAR
NYC,CITY,STOWE,RESORT,5:30,CAR
BOSTON,CITY,JAY_PEAK,RESORT,4:00,CAR
NYC,CITY,JAY_PEAK,RESORT,6:12,CAR
BOSTON,CITY,SUGARBUSH,RESORT,3:20,CAR
NYC,CITY,SUGARBUSH,RESORT,5:26,CAR
BOSTON,CITY,SUGARLOAF,RESORT,4:00,CAR
NYC,CITY,SUGARLOAF,RESORT,7:17,CAR
BOSTON,CITY,KILLINGTON,RESORT,3:00,CAR
NYC,CITY,KILLINGTON,RESORT,4:35,CAR
BOSTON,CITY,LOON,RESORT,2:20,CAR
NYC,CITY,LOON,RESORT,5:20,CAR
BOSTON,CITY,GORE,RESORT,4:22,CAR
NYC,CITY,GORE,RESORT,4:11,CAR
BOSTON,CITY,CANNON,RESORT,2:20,CAR
NYC,CITY,CANNON,RESORT,5:30,CAR
BOSTON,CITY,SUNDAY_RIVER,RESORT,3:20,CAR
NYC,CITY,SUNDAY_RIVER,RESORT,6:30,CAR
BOSTON,CITY,SLC,CITY,5:35,PLANE
NYC,CITY,SLC,CITY,5:20,PLANE
BOSTON,CITY,DENVER,CITY,4:40,PLANE
NYC,CITY,DENVER,CITY,4:20,PLANE
BOSTON,CITY,RENO,CITY,7:45,PLANE
NYC,CITY,RENO,CITY,6:25,PLANE
BOSTON,CITY,HAYDEN,CITY,5:05,PLANE
NYC,CITY,HAYDEN,CITY,4:40,PLANE
BOSTON,CITY,BOISE,CITY,7:40,PLANE
NYC,CITY,BOISE,CITY,7:15,PLANE
BOSTON,CITY,VAIL,RESORT,6:45,PLANE
NYC,CITY,VAIL,RESORT,4:45,PLANE
DENVER,CITY,VAIL,RESORT,1:30,CAR
DENVER,CITY,BRECKENRIDGE,RESORT,1:30,CAR
VAIL,RESORT,BRECKENRIDGE,RESORT,0:45,CAR
DENVER,CITY,STEAMBOAT_SPRINGS,RESORT,2:50,CAR
HAYDEN,CITY,STEAMBOAT_SPRINGS,RESORT,0:30,CAR
BOSTON,CITY,ASPEN,RESORT,6:30,PLANE
NYC,CITY,ASPEN,RESORT,6:00,PLANE
DENVER,CITY,ASPEN,RESORT,3:30,CAR
DENVER,CITY,KEYSTONE,RESORT,1:30,CAR
DENVER,CITY,BEAVER_CREEK,RESORT,1:53,CAR
VAIL,RESORT,BEAVER_CREEK,RESORT,0:20,CAR
BOSTON,CITY,JACKSON_HOLE,RESORT,6:50,PLANE
NYC,CITY,JACKSON_HOLE,RESORT,5:15,PLANE
SLC,CITY,JACKSON_HOLE,RESORT,4:40,CAR
BOSTON,CITY,SUN_VALLEY,RESORT,7:35,PLANE
NYC,CITY,SUN_VALLEY,RESORT,7:25,PLANE
BOISE,CITY,SUN_VALLEY,RESORT,2:40,CAR
BOSTON,CITY,TREMBLANT,RESORT,6:10,CAR
NYC,CITY,TREMBLANT,RESORT,7:07,CAR
NYC,CITY,NYC_AIR,CITY,1:00,TAXI
NYC,CITY,NYC_AIR,CITY,1:45,METRO
